icd_code,icd_version,long_title,cancer_type
C8407,10,"Mycosis fungoides, spleen",Mature T/NK-cell lymphomas
C8417,10,"Sezary disease, spleen",Mature T/NK-cell lymphomas
C8496,10,"Mature T/NK-cell lymphomas, unspecified, intrapelvic lymph nodes",Mature T/NK-cell lymphomas
C8499,10,"Mature T/NK-cell lymphomas, unspecified, extranodal and solid organ sites",Mature T/NK-cell lymphomas
C8587,10,"Other specified types of non-Hodgkin lymphoma, spleen",Other specified and unspecified types of non-Hodgkin lymphoma
C9000,10,Multiple myeloma not having achieved remission,Multiple myeloma and malignant plasma cell neoplasms
C901,10,Plasma cell leukemia,Multiple myeloma and malignant plasma cell neoplasms
C9150,10,Adult T-cell lymphoma/leukemia (HTLV-1-associated) not having achieved remission,Leukemia
C9262,10,Acute myeloid leukemia with 11q23-abnormality in relapse,Leukemia
C9500,10,Acute leukemia of unspecified cell type not having achieved remission,Leukemia of unspecified cell type
C966,10,Unifocal Langerhans-cell histiocytosis,"Other and unspecified malignant neoplasms of lymphoid, hematopoietic, and related tissue"
C96A,10,Histiocytic sarcoma,"Other and unspecified malignant neoplasms of lymphoid, hematopoietic, and related tissue"
C11,10,Malignant neoplasm of nasopharynx,Malignant neoplasm of nasopharynx
C168,10,Malignant neoplasm of overlapping sites of stomach,Gastrointestinal Cancer
C319,10,"Malignant neoplasm of accessory sinus, unspecified",Malignant neoplasm of accessory sinuses
C43112,10,"Malignant melanoma of right lower eyelid, including canthus",Malignant melanoma of skin
C43122,10,"Malignant melanoma of left lower eyelid, including canthus",Malignant melanoma of skin
C438,10,Malignant melanoma of overlapping sites of skin,Malignant melanoma of skin
C441291,10,"Squamous cell carcinoma of skin of left upper eyelid, including canthus",Other malignant neoplasms of skin
C44222,10,Squamous cell carcinoma of skin of right ear and external auricular canal,Other malignant neoplasms of skin
C4481,10,Basal cell carcinoma of overlapping sites of skin,Other malignant neoplasms of skin
C49A5,10,Gastrointestinal stromal tumor of rectum,Malignant neoplasm of other connective tissues
C4A5,10,Merkel cell carcinoma of trunk,Merkel cell carcinoma
C50512,10,Malignant neoplasm of lower-outer quadrant of left female breast,Breast Cancer
C50621,10,Malignant neoplasm of axillary tail of right male breast,Breast Cancer
C511,10,Malignant neoplasm of labium minus,Malignant neoplasm of vulva
C561,10,Malignant neoplasm of right ovary,Malignant neoplasm of ovary
C6210,10,Malignant neoplasm of unspecified descended testis,Malignant neoplasm of testis
C6301,10,Malignant neoplasm of right epididymis,Malignant neoplasm of other male genital organs
C76,10,Malignant neoplasm of other and ill-defined sites,Malignant neoplasm of other and ill-defined sites
C779,10,"Secondary and unspecified malignant neoplasm of lymph node, unspecified",Secondary and unspecified malignant neoplasm of lymph nodes
C785,10,Secondary malignant neoplasm of large intestine and rectum,Secondary malignant neoplasm of respiratory and digestive organs
C7962,10,Secondary malignant neoplasm of left ovary,Secondary malignant neoplasm of other sites
C7B02,10,Secondary carcinoid tumors of liver,Secondary neuroendocrine tumors
C8105,10,"Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",Hodgkin lymphoma
C8177,10,"Other Hodgkin lymphoma, spleen",Hodgkin lymphoma
C8190,10,"Hodgkin lymphoma, unspecified, unspecified site",Hodgkin lymphoma
C8229,10,"Follicular lymphoma grade III, unspecified, extranodal and solid organ sites",Non-Hodgkin Lymphoma
C8239,10,"Follicular lymphoma grade IIIa, extranodal and solid organ sites",Non-Hodgkin Lymphoma
C8304,10,"Small cell B-cell lymphoma, lymph nodes of axilla and upper limb",Non-Hodgkin lymphoma
C8314,10,"Mantle cell lymphoma, lymph nodes of axilla and upper limb",Non-Hodgkin lymphoma
C8339,10,"Diffuse large B-cell lymphoma, extranodal and solid organ sites",Non-Hodgkin lymphoma
C84,10,Mature T/NK-cell lymphomas,Mature T/NK-cell lymphomas
C8444,10,"Peripheral T-cell lymphoma, not classified, lymph nodes of axilla and upper limb",Mature T/NK-cell lymphomas
C8466,10,"Anaplastic large cell lymphoma, ALK-positive, intrapelvic lymph nodes",Mature T/NK-cell lymphomas
C8523,10,"Mediastinal (thymic) large B-cell lymphoma, intra-abdominal lymph nodes",Other specified and unspecified types of non-Hodgkin lymphoma
C862,10,Enteropathy-type (intestinal) T-cell lymphoma,Other specified types of T/NK-cell lymphoma
C92A2,10,"Acute myeloid leukemia with multilineage dysplasia, in relapse",Leukemia
C9312,10,"Chronic myelomonocytic leukemia, in relapse",Monocytic leukemia
C187,10,Malignant neoplasm of sigmoid colon,Gastrointestinal Cancer
C3430,10,"Malignant neoplasm of lower lobe, unspecified bronchus or lung",Malignant neoplasm of bronchus and lung
C4011,10,Malignant neoplasm of short bones of right upper limb,Malignant neoplasm of bone and articular cartilage of limbs
C4330,10,Malignant melanoma of unspecified part of face,Malignant melanoma of skin
C4401,10,Basal cell carcinoma of skin of lip,Other malignant neoplasms of skin
C44121,10,"Squamous cell carcinoma of skin of unspecified eyelid, including canthus",Other malignant neoplasms of skin
C44199,10,"Other specified malignant neoplasm of skin of left eyelid, including canthus",Other malignant neoplasms of skin
C44701,10,"Unspecified malignant neoplasm of skin of unspecified lower limb, including hip",Other malignant neoplasms of skin
C50221,10,Malignant neoplasm of upper-inner quadrant of right male breast,Breast Cancer
C50322,10,Malignant neoplasm of lower-inner quadrant of left male breast,Breast Cancer
C50329,10,Malignant neoplasm of lower-inner quadrant of unspecified male breast,Breast Cancer
C5041,10,"Malignant neoplasm of upper-outer quadrant of breast, female",Breast Cancer
C50819,10,Malignant neoplasm of overlapping sites of unspecified female breast,Breast Cancer
C5720,10,Malignant neoplasm of unspecified round ligament,Malignant neoplasm of other female genital organs
C6291,10,"Malignant neoplasm of right testis, unspecified whether descended or undescended",Malignant neoplasm of testis
C6310,10,Malignant neoplasm of unspecified spermatic cord,Malignant neoplasm of other male genital organs
C69,10,Malignant neoplasm of eye and adnexa,Malignant neoplasm of eye and adnexa
C6941,10,Malignant neoplasm of right ciliary body,Malignant neoplasm of eye and adnexa
C6992,10,Malignant neoplasm of unspecified site of left eye,Malignant neoplasm of eye and adnexa
C7242,10,Malignant neoplasm of left acoustic nerve,"Malignant neoplasm of spinal cord, cranial nerves, and other parts of CNS"
C7830,10,Secondary malignant neoplasm of unspecified respiratory organ,Secondary malignant neoplasm of respiratory and digestive organs
C7A019,10,"Malignant carcinoid tumor of the small intestine, unspecified portion",Malignant neuroendocrine tumors
C7A02,10,"Malignant carcinoid tumors of the appendix, large intestine, and rectum",Malignant neuroendocrine tumors
C8108,10,"Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of multiple sites",Hodgkin lymphoma
C817,10,Other Hodgkin lymphoma,Hodgkin lymphoma
C8233,10,"Follicular lymphoma grade IIIa, intra-abdominal lymph nodes",Non-Hodgkin Lymphoma
C8243,10,"Follicular lymphoma grade IIIb, intra-abdominal lymph nodes",Non-Hodgkin Lymphoma
C84Z0,10,"Other mature T/NK-cell lymphomas, unspecified site",Mature T/NK-cell lymphomas
C8584,10,"Other specified types of non-Hodgkin lymphoma, lymph nodes of axilla and upper limb",Other specified and unspecified types of non-Hodgkin lymphoma
C9291,10,"Myeloid leukemia, unspecified in remission",Leukemia
C9401,10,"Acute erythroid leukemia, in remission",Other leukemias of specified cell types
C186,10,Malignant neoplasm of descending colon,Gastrointestinal Cancer
C44,10,Other and unspecified malignant neoplasm of skin,Other malignant neoplasms of skin
C44711,10,"Basal cell carcinoma of skin of unspecified lower limb, including hip",Other malignant neoplasms of skin
C49A2,10,Gastrointestinal stromal tumor of stomach,Malignant neoplasm of other connective tissues
C49A4,10,Gastrointestinal stromal tumor of large intestine,Malignant neoplasm of other connective tissues
C4A3,10,Merkel cell carcinoma of other and unspecified parts of face,Merkel cell carcinoma
C5011,10,"Malignant neoplasm of central portion of breast, female",Breast Cancer
C5081,10,"Malignant neoplasm of overlapping sites of breast, female",Breast Cancer
C671,10,Malignant neoplasm of dome of bladder,Malignant neoplasm of bladder
C6930,10,Malignant neoplasm of unspecified choroid,Malignant neoplasm of eye and adnexa
C6980,10,Malignant neoplasm of overlapping sites of unspecified eye and adnexa,Malignant neoplasm of eye and adnexa
C7400,10,Malignant neoplasm of cortex of unspecified adrenal gland,Malignant neoplasm of adrenal gland
C7971,10,Secondary malignant neoplasm of right adrenal gland,Secondary malignant neoplasm of other sites
C7A1,10,Malignant poorly differentiated neuroendocrine tumors,Malignant neuroendocrine tumors
C8101,10,"Nodular lymphocyte predominant Hodgkin lymphoma, lymph nodes of head, face, and neck",Hodgkin lymphoma
C8293,10,"Follicular lymphoma, unspecified, intra-abdominal lymph nodes",Non-Hodgkin Lymphoma
C9031,10,Solitary plasmacytoma in remission,Multiple myeloma and malignant plasma cell neoplasms
C923,10,Myeloid sarcoma,Leukemia
C9400,10,"Acute erythroid leukemia, not having achieved remission",Other leukemias of specified cell types
C96,10,"Other and unspecified malignant neoplasms of lymphoid, hematopoietic and related tissue","Other and unspecified malignant neoplasms of lymphoid, hematopoietic, and related tissue"
C029,10,"Malignant neoplasm of tongue, unspecified",Head and Neck Cancer
C108,10,Malignant neoplasm of overlapping sites of oropharynx,Malignant neoplasm of oropharynx
C170,10,Malignant neoplasm of duodenum,Malignant neoplasm of small intestine
C3401,10,Malignant neoplasm of right main bronchus,Malignant neoplasm of bronchus and lung
C381,10,Malignant neoplasm of anterior mediastinum,"Malignant neoplasm of heart, mediastinum, and pleura"
C4321,10,Malignant melanoma of right ear and external auricular canal,Malignant melanoma of skin
C4441,10,Basal cell carcinoma of skin of scalp and neck,Other malignant neoplasms of skin
C4A10,10,"Merkel cell carcinoma of unspecified eyelid, including canthus",Merkel cell carcinoma
C50911,10,Malignant neoplasm of unspecified site of right female breast,Breast Cancer
C54,10,Malignant neoplasm of corpus uteri,Malignant neoplasm of corpus uteri
C6940,10,Malignant neoplasm of unspecified ciliary body,Malignant neoplasm of eye and adnexa
C7401,10,Malignant neoplasm of cortex of right adrenal gland,Malignant neoplasm of adrenal gland
C7492,10,Malignant neoplasm of unspecified part of left adrenal gland,Malignant neoplasm of adrenal gland
C8149,10,"Lymphocyte-rich Hodgkin lymphoma, extranodal and solid organ sites",Hodgkin lymphoma
C8172,10,"Other Hodgkin lymphoma, intrathoracic lymph nodes",Hodgkin lymphoma
C8210,10,"Follicular lymphoma grade II, unspecified site",Non-Hodgkin Lymphoma
C8255,10,"Diffuse follicle center lymphoma, lymph nodes of inguinal region and lower limb",Non-Hodgkin Lymphoma
C8294,10,"Follicular lymphoma, unspecified, lymph nodes of axilla and upper limb",Non-Hodgkin Lymphoma
C8316,10,"Mantle cell lymphoma, intrapelvic lymph nodes",Non-Hodgkin lymphoma
C8319,10,"Mantle cell lymphoma, extranodal and solid organ sites",Non-Hodgkin lymphoma
C8357,10,"Lymphoblastic (diffuse) lymphoma, spleen",Non-Hodgkin lymphoma
C84A8,10,"Cutaneous T-cell lymphoma, unspecified, lymph nodes of multiple sites",Mature T/NK-cell lymphomas
C880,10,Waldenstrom macroglobulinemia,Malignant immunoproliferative diseases
C883,10,Immunoproliferative small intestinal disease,Malignant immunoproliferative diseases
C9110,10,Chronic lymphocytic leukemia of B-cell type not having achieved remission,Leukemia
C9192,10,"Lymphoid leukemia, unspecified, in relapse",Leukemia
C9390,10,"Monocytic leukemia, unspecified, not having achieved remission",Monocytic leukemia
C0680,10,Malignant neoplasm of overlapping sites of unspecified parts of mouth,Malignant neoplasm of other parts of mouth
C154,10,Malignant neoplasm of middle third of esophagus,Gastrointestinal Cancer
C211,10,Malignant neoplasm of anal canal,Malignant neoplasm of anus and anal canal
C218,10,"Malignant neoplasm of overlapping sites of rectum, anus and anal canal",Malignant neoplasm of anus and anal canal
C44622,10,"Squamous cell carcinoma of skin of right upper limb, including shoulder",Other malignant neoplasms of skin
C475,10,Malignant neoplasm of peripheral nerves of pelvis,Malignant neoplasm of peripheral nerves
C4A31,10,Merkel cell carcinoma of nose,Merkel cell carcinoma
C50219,10,Malignant neoplasm of upper-inner quadrant of unspecified female breast,Breast Cancer
C601,10,Malignant neoplasm of glans penis,Malignant neoplasm of penis
C651,10,Malignant neoplasm of right renal pelvis,Malignant neoplasm of renal pelvis
C71,10,Malignant neoplasm of brain,Malignant neoplasm of brain
C77,10,Secondary and unspecified malignant neoplasm of lymph nodes,Secondary and unspecified malignant neoplasm of lymph nodes
C7A021,10,Malignant carcinoid tumor of the cecum,Malignant neuroendocrine tumors
C7A091,10,Malignant carcinoid tumor of the thymus,Malignant neuroendocrine tumors
C8350,10,"Lymphoblastic (diffuse) lymphoma, unspecified site",Non-Hodgkin lymphoma
C8491,10,"Mature T/NK-cell lymphomas, unspecified, lymph nodes of head, face, and neck",Mature T/NK-cell lymphomas
C84Z1,10,"Other mature T/NK-cell lymphomas, lymph nodes of head, face, and neck",Mature T/NK-cell lymphomas
C84Z5,10,"Other mature T/NK-cell lymphomas, lymph nodes of inguinal region and lower limb",Mature T/NK-cell lymphomas
C8599,10,"Non-Hodgkin lymphoma, unspecified, extranodal and solid organ sites",Other specified and unspecified types of non-Hodgkin lymphoma
C9140,10,Hairy cell leukemia not having achieved remission,Leukemia
C92Z1,10,"Other myeloid leukemia, in remission",Leukemia
C16,10,Malignant neoplasm of stomach,Gastrointestinal Cancer
C184,10,Malignant neoplasm of transverse colon,Gastrointestinal Cancer
C258,10,Malignant neoplasm of overlapping sites of pancreas,Malignant neoplasm of pancreas
C383,10,"Malignant neoplasm of mediastinum, part unspecified","Malignant neoplasm of heart, mediastinum, and pleura"
C4001,10,Malignant neoplasm of scapula and long bones of right upper limb,Malignant neoplasm of bone and articular cartilage of limbs
C408,10,Malignant neoplasm of overlapping sites of bone and articular cartilage of limb,Malignant neoplasm of bone and articular cartilage of limbs
C410,10,Malignant neoplasm of bones of skull and face,Malignant neoplasm of bone and articular cartilage of other sites
C44590,10,Other specified malignant neoplasm of anal skin,Other malignant neoplasms of skin
C4A72,10,"Merkel cell carcinoma of left lower limb, including hip",Merkel cell carcinoma
C501,10,Malignant neoplasm of central portion of breast,Breast Cancer
C5021,10,"Malignant neoplasm of upper-inner quadrant of breast, female",Breast Cancer
C519,10,"Malignant neoplasm of vulva, unspecified",Malignant neoplasm of vulva
C620,10,Malignant neoplasm of undescended testis,Malignant neoplasm of testis
C65,10,Malignant neoplasm of renal pelvis,Malignant neoplasm of renal pelvis
C7231,10,Malignant neoplasm of right optic nerve,"Malignant neoplasm of spinal cord, cranial nerves, and other parts of CNS"
C749,10,Malignant neoplasm of unspecified part of adrenal gland,Malignant neoplasm of adrenal gland
C7A0,10,Malignant carcinoid tumors,Malignant neuroendocrine tumors
C821,10,Follicular lymphoma grade II,Non-Hodgkin Lymphoma
C8265,10,"Cutaneous follicle center lymphoma, lymph nodes of inguinal region and lower limb",Non-Hodgkin Lymphoma
C8285,10,"Other types of follicular lymphoma, lymph nodes of inguinal region and lower limb",Non-Hodgkin Lymphoma
C8299,10,"Follicular lymphoma, unspecified, extranodal and solid organ sites",Non-Hodgkin Lymphoma
C835,10,Lymphoblastic (diffuse) lymphoma,Non-Hodgkin lymphoma
C8351,10,"Lymphoblastic (diffuse) lymphoma, lymph nodes of head, face, and neck",Non-Hodgkin lymphoma
C9152,10,"Adult T-cell lymphoma/leukemia (HTLV-1-associated), in relapse",Leukemia
C93Z2,10,"Other monocytic leukemia, in relapse",Monocytic leukemia
C020,10,Malignant neoplasm of dorsal surface of tongue,Head and Neck Cancer
C118,10,Malignant neoplasm of overlapping sites of nasopharynx,Malignant neoplasm of nasopharynx
C17,10,Malignant neoplasm of small intestine,Malignant neoplasm of small intestine
C259,10,"Malignant neoplasm of pancreas, unspecified",Malignant neoplasm of pancreas
C440,10,Other and unspecified malignant neoplasm of skin of lip,Other malignant neoplasms of skin
C441292,10,"Squamous cell carcinoma of skin of left lower eyelid, including canthus",Other malignant neoplasms of skin
C44292,10,Other specified malignant neoplasm of skin of right ear and external auricular canal,Other malignant neoplasms of skin
C4439,10,Other specified malignant neoplasm of skin of other and unspecified parts of face,Other malignant neoplasms of skin
C4471,10,"Basal cell carcinoma of skin of lower limb, including hip",Other malignant neoplasms of skin
C4489,10,Other specified malignant neoplasm of overlapping sites of skin,Other malignant neoplasms of skin
C4A122,10,"Merkel cell carcinoma of left lower eyelid, including canthus",Merkel cell carcinoma
C5042,10,"Malignant neoplasm of upper-outer quadrant of breast, male",Breast Cancer
C6962,10,Malignant neoplasm of left orbit,Malignant neoplasm of eye and adnexa
C759,10,"Malignant neoplasm of endocrine gland, unspecified",Malignant neoplasm of other endocrine glands
C7880,10,Secondary malignant neoplasm of unspecified digestive organ,Secondary malignant neoplasm of respiratory and digestive organs
C79,10,Secondary malignant neoplasm of other and unspecified sites,Secondary malignant neoplasm of other sites
C790,10,Secondary malignant neoplasm of kidney and renal pelvis,Secondary malignant neoplasm of other sites
C7900,10,Secondary malignant neoplasm of unspecified kidney and renal pelvis,Secondary malignant neoplasm of other sites
C7970,10,Secondary malignant neoplasm of unspecified adrenal gland,Secondary malignant neoplasm of other sites
C7A098,10,Malignant carcinoid tumors of other sites,Malignant neuroendocrine tumors
C7A8,10,Other malignant neuroendocrine tumors,Malignant neuroendocrine tumors
C8122,10,"Mixed cellularity Hodgkin lymphoma, intrathoracic lymph nodes",Hodgkin lymphoma
C8206,10,"Follicular lymphoma grade I, intrapelvic lymph nodes",Non-Hodgkin Lymphoma
C8228,10,"Follicular lymphoma grade III, unspecified, lymph nodes of multiple sites",Non-Hodgkin Lymphoma
C8263,10,"Cutaneous follicle center lymphoma, intra-abdominal lymph nodes",Non-Hodgkin Lymphoma
C8264,10,"Cutaneous follicle center lymphoma, lymph nodes of axilla and upper limb",Non-Hodgkin Lymphoma
C8301,10,"Small cell B-cell lymphoma, lymph nodes of head, face, and neck",Non-Hodgkin lymphoma
C84Z9,10,"Other mature T/NK-cell lymphomas, extranodal and solid organ sites",Mature T/NK-cell lymphomas
C8580,10,"Other specified types of non-Hodgkin lymphoma, unspecified site",Other specified and unspecified types of non-Hodgkin lymphoma
C864,10,Blastic NK-cell lymphoma,Other specified types of T/NK-cell lymphoma
C865,10,Angioimmunoblastic T-cell lymphoma,Other specified types of T/NK-cell lymphoma
C00,10,Malignant neoplasm of lip,Head and Neck Cancer
C19,10,Malignant neoplasm of rectosigmoid junction,Malignant neoplasm of rectosigmoid junction
C322,10,Malignant neoplasm of subglottis,Malignant neoplasm of larynx
C323,10,Malignant neoplasm of laryngeal cartilage,Malignant neoplasm of larynx
C3481,10,Malignant neoplasm of overlapping sites of right bronchus and lung,Malignant neoplasm of bronchus and lung
C437,10,"Malignant melanoma of lower limb, including hip",Malignant melanoma of skin
C44102,10,"Unspecified malignant neoplasm of skin of right eyelid, including canthus",Other malignant neoplasms of skin
C44602,10,"Unspecified malignant neoplasm of skin of right upper limb, including shoulder",Other malignant neoplasms of skin
C44792,10,"Other specified malignant neoplasm of skin of right lower limb, including hip",Other malignant neoplasms of skin
C50112,10,Malignant neoplasm of central portion of left female breast,Breast Cancer
C50222,10,Malignant neoplasm of upper-inner quadrant of left male breast,Breast Cancer
C505,10,Malignant neoplasm of lower-outer quadrant of breast,Breast Cancer
C50829,10,Malignant neoplasm of overlapping sites of unspecified male breast,Breast Cancer
C781,10,Secondary malignant neoplasm of mediastinum,Secondary malignant neoplasm of respiratory and digestive organs
C7951,10,Secondary malignant neoplasm of bone,Secondary malignant neoplasm of other sites
C7A092,10,Malignant carcinoid tumor of the stomach,Malignant neuroendocrine tumors
C7B0,10,Secondary carcinoid tumors,Secondary neuroendocrine tumors
C8121,10,"Mixed cellularity Hodgkin lymphoma, lymph nodes of head, face, and neck",Hodgkin lymphoma
C8257,10,"Diffuse follicle center lymphoma, spleen",Non-Hodgkin Lymphoma
C8282,10,"Other types of follicular lymphoma, intrathoracic lymph nodes",Non-Hodgkin Lymphoma
C833,10,Diffuse large B-cell lymphoma,Non-Hodgkin lymphoma
C8377,10,"Burkitt lymphoma, spleen",Non-Hodgkin lymphoma
C8461,10,"Anaplastic large cell lymphoma, ALK-positive, lymph nodes of head, face, and neck",Mature T/NK-cell lymphomas
C8514,10,"Unspecified B-cell lymphoma, lymph nodes of axilla and upper limb",Other specified and unspecified types of non-Hodgkin lymphoma
C9102,10,"Acute lymphoblastic leukemia, in relapse",Leukemia
C9201,10,"Acute myeloblastic leukemia, in remission",Leukemia
C9211,10,"Chronic myeloid leukemia, BCR/ABL-positive, in remission",Leukemia
C92A1,10,"Acute myeloid leukemia with multilineage dysplasia, in remission",Leukemia
C9441,10,"Acute panmyelosis with myelofibrosis, in remission",Other leukemias of specified cell types
