icd_code,icd_version,long_title,cancer_type
C8384,10,"Other non-follicular lymphoma, lymph nodes of axilla and upper limb",Non-Hodgkin lymphoma
C8477,10,"Anaplastic large cell lymphoma, ALK-negative, spleen",Mature T/NK-cell lymphomas
C84A0,10,"Cutaneous T-cell lymphoma, unspecified, unspecified site",Mature T/NK-cell lymphomas
C851,10,Unspecified B-cell lymphoma,Other specified and unspecified types of non-Hodgkin lymphoma
C8589,10,"Other specified types of non-Hodgkin lymphoma, extranodal and solid organ sites",Other specified and unspecified types of non-Hodgkin lymphoma
C9191,10,"Lymphoid leukemia, unspecified, in remission",Leukemia
C9391,10,"Monocytic leukemia, unspecified in remission",Monocytic leukemia
C060,10,Malignant neoplasm of cheek mucosa,Malignant neoplasm of other parts of mouth
C112,10,Malignant neoplasm of lateral wall of nasopharynx,Malignant neoplasm of nasopharynx
C343,10,"Malignant neoplasm of lower lobe, bronchus or lung",Malignant neoplasm of bronchus and lung
C436,10,"Malignant melanoma of upper limb, including shoulder",Malignant melanoma of skin
C44211,10,Basal cell carcinoma of skin of unspecified ear and external auricular canal,Other malignant neoplasms of skin
C4440,10,Unspecified malignant neoplasm of skin of scalp and neck,Other malignant neoplasms of skin
C4449,10,Other specified malignant neoplasm of skin of scalp and neck,Other malignant neoplasms of skin
C4720,10,"Malignant neoplasm of peripheral nerves of unspecified lower limb, including hip",Malignant neoplasm of peripheral nerves
C50211,10,Malignant neoplasm of upper-inner quadrant of right female breast,Breast Cancer
C50312,10,Malignant neoplasm of lower-inner quadrant of left female breast,Breast Cancer
C50529,10,Malignant neoplasm of lower-outer quadrant of unspecified male breast,Breast Cancer
C50619,10,Malignant neoplasm of axillary tail of unspecified female breast,Breast Cancer
C57,10,Malignant neoplasm of other and unspecified female genital organs,Malignant neoplasm of other female genital organs
C715,10,Malignant neoplasm of cerebral ventricle,Malignant neoplasm of brain
C7241,10,Malignant neoplasm of right acoustic nerve,"Malignant neoplasm of spinal cord, cranial nerves, and other parts of CNS"
C7250,10,Malignant neoplasm of unspecified cranial nerve,"Malignant neoplasm of spinal cord, cranial nerves, and other parts of CNS"
C8132,10,"Lymphocyte depleted Hodgkin lymphoma, intrathoracic lymph nodes",Hodgkin lymphoma
C8133,10,"Lymphocyte depleted Hodgkin lymphoma, intra-abdominal lymph nodes",Hodgkin lymphoma
C8135,10,"Lymphocyte depleted Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",Hodgkin lymphoma
C8199,10,"Hodgkin lymphoma, unspecified, extranodal and solid organ sites",Hodgkin lymphoma
C8261,10,"Cutaneous follicle center lymphoma, lymph nodes of head, face, and neck",Non-Hodgkin Lymphoma
C8355,10,"Lymphoblastic (diffuse) lymphoma, lymph nodes of inguinal region and lower limb",Non-Hodgkin lymphoma
C8398,10,"Non-follicular (diffuse) lymphoma, unspecified, lymph nodes of multiple sites",Non-Hodgkin lymphoma
C844,10,"Peripheral T-cell lymphoma, not classified",Mature T/NK-cell lymphomas
C8464,10,"Anaplastic large cell lymphoma, ALK-positive, lymph nodes of axilla and upper limb",Mature T/NK-cell lymphomas
C860,10,"Extranodal NK/T-cell lymphoma, nasal type",Other specified types of T/NK-cell lymphoma
C91Z1,10,"Other lymphoid leukemia, in remission",Leukemia
C92A,10,Acute myeloid leukemia with multilineage dysplasia,Leukemia
C939,10,"Monocytic leukemia, unspecified",Monocytic leukemia
C93Z0,10,"Other monocytic leukemia, not having achieved remission",Monocytic leukemia
